id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
68-19110,38,0,39,1651170450,14674412,68
68-19111,40,0,41,1651248400,14680154,68
68-19112,67,0,68,1651281243,14682603,68
69-19108,1,0,1,1651017000,14663138,69
69-19109,9,0,10,1651095154,14668912,69
69-19110,31,0,33,1651170604,14674427,69
69-19111,32,0,34,1651265094,14681447,69
69-19112,59,0,61,1651281488,14682628,69
70-19109,14,0,14,1651095154,14668912,70
70-19110,37,0,37,1651169566,14674358,70
70-19111,39,1,41,1651266794,14681568,70
70-19112,41,1,43,1651288694,14683155,70
71-19118,2,0,2,1651852514,14724441,71
71-19119,10,0,10,1651960270,14732266,71
71-19120,51,0,51,1652051985,14738957,71
71-19121,54,0,54,1652066660,14740048,71
7-18894,7,0,7,1632498564,13289355,7
7-18896,9,0,9,1632635568,13299689,7
72-19119,6,0,6,1651941392,14730870,72
72-19120,9,8,50,1652051896,14738950,72
72-19121,23,9,66,1652130623,14744638,72
72-19122,31,10,102,1652204731,14749913,72
